Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"UART_RX","OffPage","UART","6","SCHEMATIC1","U5.4","770","360","2C","2"
"UART_RX","OffPage","MCU","2","SCHEMATIC1","U1.43","460","230","3C","6"
"VREF_EN","OffPage","MCU","2","SCHEMATIC1","U1.2","460","260","3C","5"
"VREF_EN","OffPage","CURRENT SENSOR","5","SCHEMATIC1","R31.2,U7.3","590","560","3B","2"
"UART_OE","OffPage","UART","6","SCHEMATIC1","R23.2,U5.6","770","430","2B","2"
"UART_OE","OffPage","MCU","2","SCHEMATIC1","U1.5","460","290","3C","6"
"SDA","OffPage","MCU","2","SCHEMATIC1","U1.46","910","450","2B","4"
"SDA","OffPage","VIBRATION SENSOR","4","SCHEMATIC1","R9.2,U2.6","790","290","2C","2"
"SCL","OffPage","MCU","2","SCHEMATIC1","U1.41","910","440","2B","4"
"SCL","OffPage","VIBRATION SENSOR","4","SCHEMATIC1","R8.2,U2.4","790","270","2C","2"
"ICSPCLK","OffPage","MCU","2","SCHEMATIC1","J1.5,R4.1,U1.18","910","380","2C","Property Not Present"
"ICSPDAT","OffPage","MCU","2","SCHEMATIC1","J1.4,R5.1,U1.19","910","390","2C","Property Not Present"
"CAN_RX","OffPage","MCU","2","SCHEMATIC1","U1.11","910","350","2C","3"
"CAN_RX","OffPage","CAN","3","SCHEMATIC1","U3.4","830","250","2C","2"
"CAN_TX","OffPage","MCU","2","SCHEMATIC1","U1.8","910","320","2C","3"
"CAN_TX","OffPage","CAN","3","SCHEMATIC1","U3.1","830","230","2C","2"
"VREF+2.5V","OffPage","MCU","2","SCHEMATIC1","U1.24","910","250","2C","5"
"VREF+2.5V","OffPage","CURRENT SENSOR","5","SCHEMATIC1","C16.1,R29.1,U7.6","470","460","3B","2"
"ADC_IN","OffPage","MCU","2","SCHEMATIC1","U1.21","910","220","2C","5"
"ADC_IN","OffPage","CURRENT SENSOR","5","SCHEMATIC1","R34.2","990","250","1C","2"
"CAN_H","OffPage","CAN","3","SCHEMATIC1","R13.1,U3.7","270","230","4C","Property Not Present"
"CAN_L","OffPage","CAN","3","SCHEMATIC1","R14.1,U3.6","270","250","4C","Property Not Present"
"LBK","OffPage","CAN","3","SCHEMATIC1","R15.1,U3.5","830","280","2C","Property Not Present"
"INE_INT1","OffPage","MCU","2","SCHEMATIC1","U1.9","910","330","2C","4"
"INE_INT1","OffPage","VIBRATION SENSOR","4","SCHEMATIC1","R10.2,U2.11","790","370","2C","2"
"INE_INT2","OffPage","MCU","2","SCHEMATIC1","U1.10","910","340","2C","4"
"INE_INT2","OffPage","VIBRATION SENSOR","4","SCHEMATIC1","R11.2,U2.9","790","380","2C","2"
"DIP B[0:6]","OffPage","MCU","2","SCHEMATIC1","","430","310","4C","Property Not Present"
"DIP B[0:6]","OffPage","CAN","3","SCHEMATIC1","","400","600","4B","Property Not Present"
"UART_TX","OffPage","UART","6","SCHEMATIC1","U5.5","770","320","2C","2"
"UART_TX","OffPage","MCU","2","SCHEMATIC1","U1.42","460","220","3C","6"
